#Name	Car.Gen.vx_1	DM.Steer.Ang	Time
#Unit	m/s	rad	s
#nStates	0	0	0
	       0.009999997	                 0	                 0
	      0.0086476672	    -7.3345028e-08	              0.02
	      0.0075096516	    -2.4491717e-07	       0.039999999
	       0.006522404	    -4.0139201e-07	       0.059999999
	       0.005631852	    -5.1357057e-07	       0.079999998
	      0.0047558793	    -5.8755171e-07	               0.1
	      0.0038468949	    -6.3429303e-07	              0.12
	      0.0028622209	    -6.6304227e-07	              0.14
	       0.001737352	    -6.8016152e-07	              0.16
	     0.00033363394	    -6.8980205e-07	        0.18000001
	     -0.0010887424	    -6.9502011e-07	               0.2
	     -0.0018750997	    -6.9599889e-07	              0.22
	      -0.002297356	    -6.8964545e-07	        0.23999999
	     -0.0025779712	    -6.7626581e-07	        0.25999999
	     -0.0028240993	      -6.58094e-07	              0.28
	     -0.0030621584	    -6.3660622e-07	        0.30000001
	     -0.0032958051	    -6.1228917e-07	        0.31999999
	     -0.0035199195	    -5.8508857e-07	              0.34
	     -0.0037327439	    -5.5482809e-07	        0.36000001
	     -0.0039370344	    -5.2135812e-07	              0.38
	      -0.004122566	    -4.8458975e-07	        0.40000001
	     -0.0042393189	    -4.8480479e-07	        0.41999999
	     -0.0042934525	    -6.0355444e-07	              0.44
	     -0.0043098466	    -7.5174404e-07	        0.46000001
	     -0.0043074386	    -8.7859962e-07	        0.47999999
	      -0.004296382	    -9.7294276e-07	               0.5
	     -0.0042768018	    -1.0383872e-06	        0.51999998
	     -0.0042491117	    -1.0819499e-06	        0.54000002
	     -0.0042074956	     -1.110103e-06	              0.56
	     -0.0041476679	    -1.1276715e-06	        0.57999998
	     -0.0040971953	    -1.1379821e-06	        0.60000002
	     -0.0040339013	    -1.1435453e-06	              0.62
	     -0.0039766631	    -1.1459547e-06	        0.63999999
	     -0.0039185425	    -1.1463433e-06	        0.66000003
	     -0.0038592208	    -1.1454272e-06	        0.68000001
	     -0.0038120321	    -1.1437072e-06	        0.69999999
	      -0.003760918	    -1.1415544e-06	        0.72000003
	     -0.0037207834	    -1.1186219e-06	        0.74000001
	     -0.0036948025	    -1.0156966e-06	        0.75999999
	     -0.0036689453	    -8.9507904e-07	        0.77999997
	     -0.0036486767	    -7.9226822e-07	        0.80000001
	      -0.003629406	    -7.1336871e-07	        0.81999999
	      -0.003616001	    -6.5485301e-07	        0.83999997
	     -0.0036079674	    -6.1124217e-07	        0.86000001
	     -0.0036040915	    -5.7772473e-07	              0.88
	      -0.003599826	    -5.5073923e-07	        0.89999998
	     -0.0036001608	     -5.278776e-07	        0.92000002
	     -0.0036039704	    -5.0751333e-07	              0.94
	     -0.0036099325	    -4.8857765e-07	        0.95999998
	       -0.00361736	    -4.7861533e-07	        0.98000002
	     -0.0036270006	    -5.4141492e-07	                 1
	     -0.0036393155	     -6.353568e-07	              1.02
	     -0.0036496876	    -7.1972016e-07	              1.04
	     -0.0036590768	    -7.8394413e-07	         1.0599999
	     -0.0036674952	    -8.2923339e-07	              1.08
	     -0.0036747269	    -8.5990888e-07	               1.1
